CopyFromVarName;CopyToVarName;CheckVarName
ATP_M1_DrvrNum;ETHPD_ATP_M1_DrvrNum;ETHPD_ATP_M1_DrvrNum_CV
ATP_M1_TrainNum;ETHPD_ATP_M1_TrainNum;ETHPD_ATP_M1_TrainNum_CV
ATP_M2_DrvrNum;ETHPD_ATP_M2_DrvrNum;ETHPD_ATP_M2_DrvrNum_CV
ATP_M2_TrainNum;ETHPD_ATP_M2_TrainNum;ETHPD_ATP_M2_TrainNum_CV
SIV_DistNext;ETHPD_SIV_DistNext;ETHPD_SIV_DistNext_CV
SIV_DistRem;ETHPD_SIV_DistRem;ETHPD_SIV_DistRem_CV
ATP_M1_BeCode;ETHPD_ATP_M1_BeCode;ETHPD_ATP_M1_BeCode_CV
ATP_M1_Dist;ETHPD_ATP_M1_Dist;ETHPD_ATP_M1_Dist_CV
ATP_M1_Speed;ETHPD_ATP_M1_Speed;ETHPD_ATP_M1_Speed_CV
ATP_M2_BeCode;ETHPD_ATP_M2_BeCode;ETHPD_ATP_M2_BeCode_CV
ATP_M2_Dist;ETHPD_ATP_M2_Dist;ETHPD_ATP_M2_Dist_CV
ATP_M2_Speed;ETHPD_ATP_M2_Speed;ETHPD_ATP_M2_Speed_CV
CCU_ModeW;ETHPD_CCU_ModeW;ETHPD_CCU_ModeW_CV
CCU_Compo;ETHPD_CCU_Compo;ETHPD_CCU_Compo_CV
U1_CCU_ipLastOctet;ETHPD_U1_CCU_ipLastOctet;ETHPD_U1_CCU_ipLastOctet_CV
U2_CCU_ipLastOctet;ETHPD_U2_CCU_ipLastOctet;ETHPD_U2_CCU_ipLastOctet_CV
U3_CCU_ipLastOctet;ETHPD_U3_CCU_ipLastOctet;ETHPD_U3_CCU_ipLastOctet_CV
